MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,SaleType,SaleCondition,SalePrice,SalePriceLog,ExteriorMat,HouseFin,ExteriorStyle
45,RM,57.0,7449,Grvl,Reg,Inside,IDOTRR,Norm,1Fam,1.5Story,7,7,1930,1950,Gable,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,Unf,637,Ex,Y,Fuse,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,280,N,0,0,205,0,0,0,Fence,0,WD,Normal,139400,11.845102777308561,Wood,Unfinished,Siding
20,RL,75.0,9742,NA,Reg,Inside,CollgCr,Norm,1Fam,1.0Story,8,5,2002,2002,Hip,BrkFace,281.0,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,1777,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,Y,171,159,0,0,0,0,NA,0,WD,Normal,230000,12.345834587905333,VinylSd,Finished,Siding
120,RM,44.0,4224,NA,Reg,Inside,MeadowV,Norm,Twnhs,1.0Story,5,7,1976,1976,Gable,None,0.0,TA,Gd,PConc,Gd,TA,No,GLQ,Unf,1040,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,572,Y,100,110,0,0,0,0,NA,0,WD,Normal,129900,11.77452020265869,Other,Finished,Other
20,RL,70.05,8246,NA,IR,Inside,Sawyer,Norm,1Fam,1.0Story,5,8,1968,2001,Gable,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,1060,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,270,Y,406,90,0,0,0,0,Fence,0,WD,Normal,154000,11.944707881395766,Plywood,Finished,Other
20,RL,110.0,14230,NA,Reg,Corner,NridgHt,Norm,1Fam,1.0Story,8,5,2007,2007,Gable,Stone,640.0,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,1566,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,Y,0,56,0,0,0,0,NA,0,WD,Normal,256300,12.454103912352162,VinylSd,Finished,Siding
20,RL,60.0,7200,NA,Reg,Corner,NAmes,Norm,1Fam,1.0Story,5,7,1951,2000,Gable,None,0.0,TA,Gd,CBlock,TA,TA,Mn,BLQ,Rec,900,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,Detchd,Unf,2,576,Y,222,32,0,0,0,0,NA,0,WD,Normal,134800,11.811547477460344,Wood,Finished,Siding
20,RL,98.0,11478,NA,Reg,Inside,NridgHt,Norm,1Fam,1.0Story,8,5,2007,2008,Gable,Stone,200.0,Gd,Gd,PConc,Ex,TA,No,GLQ,Unf,1704,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,Y,0,50,0,0,0,0,NA,0,WD,Normal,306000,12.631340380934517,VinylSd,Finished,Siding
20,RL,47.0,16321,NA,IR,CulDSac,NAmes,Norm,1Fam,1.0Story,5,6,1957,1997,Gable,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,1484,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,319,Y,288,258,0,0,0,0,NA,0,WD,Normal,207500,12.24288661865289,MetalSd,Finished,Siding
30,RM,60.0,6324,NA,IR,Inside,BrkSide,Feedr,1Fam,1.0Story,4,6,1927,1950,Gable,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,520,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,NA,Detchd,Unf,1,240,Y,49,0,87,0,0,0,NA,0,WD,Normal,68500,11.134589024250317,MetalSd,Finished,Siding
70,C (all),50.0,8500,Pave,Reg,Inside,IDOTRR,Feedr,1Fam,2.0Story,4,4,1920,1950,Oth,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,1,250,N,0,54,172,0,0,0,Fence,0,WD,Normal,40000,10.596634733096073,Other,Finished,Other
20,RL,70.05,8544,NA,IR,CulDSac,Sawyer,Norm,1Fam,1.0Story,5,6,1966,2006,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,1228,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,Unf,1,271,Y,0,65,0,0,0,0,Fence,0,WD,Normal,149350,11.914047823644255,HdBoard,Finished,Other
20,RL,85.0,11049,NA,Reg,Corner,CollgCr,Norm,1Fam,1.0Story,8,5,2007,2007,Gable,None,0.0,Gd,Gd,PConc,Ex,TA,Av,Unf,Unf,1234,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,RFn,2,484,Y,0,30,0,0,0,0,NA,0,WD,Normal,179900,12.100156419938624,VinylSd,Finished,Siding
20,RL,70.0,10552,NA,IR,Inside,NAmes,Norm,1Fam,1.0Story,5,5,1959,1959,Hip,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,Unf,1398,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,447,Y,0,38,0,0,0,0,NA,0,WD,Normal,165500,12.016726473799254,Other,Finished,Other
120,RL,60.0,7313,NA,Reg,Inside,NridgHt,Norm,Twnhs,1.0Story,9,5,2005,2005,Hip,BrkFace,246.0,Ex,Gd,PConc,Ex,TA,No,GLQ,Unf,1561,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,556,Y,203,47,0,0,0,0,NA,0,WD,Normal,277500,12.533576212168626,MetalSd,Finished,Siding
60,RL,108.0,13418,NA,Reg,Inside,NridgHt,Norm,1Fam,2.0Story,8,5,2004,2005,Gable,Stone,132.0,Gd,Gd,PConc,Ex,TA,Av,Unf,Unf,1117,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,Attchd,Fin,3,691,Y,113,32,0,0,0,0,NA,0,WD,Normal,309000,12.641096555879882,VinylSd,Finished,Siding
20,RL,112.0,10859,NA,Reg,Corner,CollgCr,Norm,1Fam,1.0Story,5,5,1994,1995,Gable,None,0.0,TA,Gd,PConc,Gd,TA,No,Unf,Unf,1097,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,Unf,2,672,Y,392,64,0,0,0,0,NA,0,WD,Normal,145000,11.884489021402711,VinylSd,Finished,Siding
20,RL,74.0,8532,NA,Reg,Inside,NAmes,Norm,1Fam,1.0Story,5,6,1954,1990,Hip,BrkFace,650.0,TA,Gd,CBlock,TA,TA,No,Rec,Unf,1297,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,498,Y,0,0,0,0,0,0,NA,0,WD,Normal,153000,11.938193200374572,Wood,Finished,Siding
20,RL,68.0,7922,NA,Reg,Inside,NAmes,Norm,1Fam,1.0Story,5,7,1953,2007,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1057,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,Unf,1,246,Y,0,52,0,0,0,0,NA,0,WD,Abnorml,109000,11.59910316121128,VinylSd,Finished,Siding
90,RL,65.0,6040,NA,Reg,Inside,Edwards,Norm,Oth,1.0Story,4,5,1955,1955,Gable,None,0.0,TA,Gd,PConc,NA,NA,No,NA,NA,0,TA,N,Fuse,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,NA,NA,NA,0,0,N,0,0,0,0,0,0,NA,0,WD,Abnorml,82000,11.314474526246391,Plywood,Finished,Other
20,RL,84.0,8658,NA,Reg,Inside,NAmes,Norm,1Fam,1.0Story,6,5,1965,1965,Gable,BrkFace,101.0,TA,Gd,CBlock,TA,TA,No,Rec,Unf,1088,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,440,Y,0,138,0,0,0,0,Fence,0,WD,Abnorml,160000,11.982929094215963,Wood,Finished,Siding
20,RL,115.0,16905,NA,Reg,Inside,Timber,Norm,1Fam,1.0Story,5,6,1959,1959,Gable,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,1350,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,308,N,0,104,0,0,0,0,NA,0,WD,Normal,170000,12.043553716032399,VinylSd,Finished,Siding
85,RL,70.05,9180,NA,IR,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,None,0.0,TA,Gd,CBlock,Gd,TA,Av,ALQ,LwQ,840,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,NA,Attchd,RFn,2,504,Y,240,0,0,0,0,0,Fence,0,WD,Normal,144000,11.877568578558138,HdBoard,Finished,Other
20,RL,70.05,9200,NA,IR,CulDSac,CollgCr,Norm,1Fam,1.0Story,5,6,1975,1980,Hip,None,0.0,TA,Gd,CBlock,Gd,TA,Av,LwQ,BLQ,938,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,Unf,1,308,Y,145,0,0,0,0,0,Fence,0,WD,Normal,130250,11.777210959615614,VinylSd,Finished,Siding
20,RL,70.0,7945,NA,Reg,Inside,NAmes,Norm,1Fam,1.0Story,5,6,1959,1959,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,BLQ,1150,Ex,Y,Fuse,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,RFn,1,300,Y,0,0,0,0,0,0,NA,0,WD,Normal,141000,11.856515169360305,Wood,Finished,Siding
120,RL,61.0,7658,NA,Reg,Inside,NridgHt,Norm,Twnhs,1.0Story,9,5,2005,2005,Hip,BrkFace,412.0,Ex,Gd,PConc,Ex,TA,No,GLQ,Unf,1752,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,576,Y,196,82,0,0,0,0,NA,0,WD,Normal,319900,12.675763725937609,MetalSd,Finished,Siding
50,RL,48.0,12822,NA,IR,CulDSac,Mitchel,Norm,1Fam,1.5Story,7,5,2003,2003,Gable,None,0.0,Gd,Gd,PConc,Ex,TA,No,GLQ,Unf,1434,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,670,Y,168,43,0,0,198,0,NA,0,WD,Abnorml,239686,12.387085012375499,VinylSd,Finished,Siding
20,FV,84.0,11096,NA,Reg,Inside,Somerst,Norm,1Fam,1.0Story,8,5,2006,2006,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,Av,GLQ,Unf,1656,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,RFn,3,826,Y,0,146,0,0,0,0,NA,0,WD,Normal,249700,12.428015476267865,VinylSd,Finished,Siding
190,RM,33.0,4456,NA,Reg,Inside,OldTown,Norm,Oth,2.0Story,4,5,1920,2008,Gable,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,736,Gd,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,NA,NA,NA,0,0,N,0,0,102,0,0,0,NA,0,Oth,Partial,113000,11.635143097694478,MetalSd,Finished,Siding
20,RL,66.0,7742,NA,Reg,Inside,Sawyer,Norm,1Fam,1.0Story,5,7,1966,1966,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,955,Ex,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,Unf,1,386,Y,0,0,0,0,0,0,Fence,0,WD,Normal,127000,11.751942365440728,HdBoard,Finished,Other
60,RL,70.05,13869,NA,IR,Corner,Gilbert,Norm,1Fam,2.0Story,6,6,1997,1997,Gable,None,0.0,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,794,Gd,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,NA,Attchd,Fin,2,388,Y,0,75,0,0,0,0,NA,0,WD,Normal,177000,12.083905011555967,VinylSd,Finished,Siding
50,RM,52.0,6240,NA,Reg,Inside,BrkSide,Norm,1Fam,1.5Story,6,6,1934,1950,Gable,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,Unf,816,TA,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,Unf,2,528,Y,112,0,0,0,0,0,Fence,400,WD,Normal,114500,11.648330101976432,Wood,Finished,Siding
90,RM,110.0,8472,NA,IR,Corner,IDOTRR,NRR,Oth,1.0Story,5,5,1963,1963,Gable,None,0.0,Fa,Gd,CBlock,Gd,TA,Gd,LwQ,GLQ,816,TA,N,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,516,Y,106,0,0,0,0,0,NA,0,WD,Normal,110000,11.608235644774552,Wood,Finished,Siding
20,RL,68.0,50271,NA,IR,Inside,Veenker,Norm,1Fam,1.0Story,9,5,1981,1987,Gable,None,0.0,Gd,Gd,CBlock,Ex,TA,Gd,GLQ,Unf,1842,Gd,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,Attchd,Fin,3,894,Y,857,72,0,0,0,0,NA,0,WD,Normal,385000,12.86099861326992,Wood,Finished,Shingle
80,RL,60.0,7134,NA,Reg,Inside,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,384,TA,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,TA,6,Atype,1,TA,Detchd,Unf,2,572,Y,0,50,0,0,0,0,Fence,0,WD,Normal,130000,11.77528972943772,MetalSd,Finished,Siding
20,RL,100.0,10175,NA,IR,Inside,NAmes,Norm,1Fam,1.0Story,6,5,1964,1964,Gable,BrkFace,272.0,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,1425,Gd,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,RFn,2,576,Y,0,0,0,407,0,0,NA,0,WD,Normal,180500,12.103486056755072,Plywood,Finished,Other
160,FV,24.0,2645,Pave,Reg,Inside,Somerst,Norm,Twnhs,2.0Story,8,5,1999,2000,Gable,BrkFace,456.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,970,Ex,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,Fin,2,480,Y,115,0,0,0,0,0,NA,0,WD,Abnorml,172500,12.058152515453552,MetalSd,Finished,Siding
60,RL,89.0,11645,NA,IR,Corner,CollgCr,Norm,1Fam,2.0Story,7,5,2004,2004,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,860,Ex,Y,SBrkr,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,RFn,2,565,Y,0,70,0,0,0,0,NA,0,WD,Normal,196500,12.188417710291453,VinylSd,Finished,Siding
60,RL,66.0,13682,NA,IR,CulDSac,StoneBr,Norm,1Fam,2.0Story,10,5,2006,2006,Hip,BrkFace,1031.0,Ex,Gd,PConc,Ex,TA,Gd,Unf,Unf,1410,Ex,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,Attchd,Fin,3,641,Y,192,0,37,0,0,0,NA,0,Oth,Partial,438780,12.991753427493052,VinylSd,Finished,Siding
20,RL,60.0,7200,NA,Reg,Inside,CollgCr,Norm,1Fam,1.0Story,5,7,1972,1972,Gable,None,0.0,TA,Gd,CBlock,TA,TA,Av,ALQ,Unf,780,Ex,Y,SBrkr,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,Unf,1,352,Y,196,0,0,0,0,0,Fence,0,WD,Normal,124900,11.73526869611367,HdBoard,Finished,Other
20,RL,63.0,13072,NA,Reg,Inside,SawyerW,NRR,1Fam,1.0Story,6,5,2004,2004,Gable,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,1158,Ex,Y,SBrkr,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,NA,Detchd,Unf,2,576,Y,0,50,0,0,0,0,NA,0,Oth,Partial,158000,11.970350312009105,VinylSd,Finished,Siding
75,RM,60.0,7200,NA,Reg,Inside,IDOTRR,Norm,1Fam,2.5Story,5,7,1920,1996,Gable,None,0.0,TA,Gd,BrkTil,TA,Fa,No,Unf,Unf,530,TA,N,SBrkr,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,NA,Detchd,Unf,1,288,N,0,0,144,0,0,0,NA,0,WD,Normal,101000,11.522875795823397,MetalSd,Unfinished,Siding
